"","Label","Type","Reference","M: Fix to 2009","M: Fix to prior","M: Fix to Hamel","M: Fix to VBGF","M: Fix to OR","VBGF 2009","VBGF Grebel","OR maturity","Est. h","All rec devs","No rec devs","High bias adj.","Harmonic mean","Dirichlet","Wts = 1","No blocks","First blocks in 2000","Alt rec catches"
"68",NA,"Main_RecrDev_1974",0.359392,0.338947,0.349664,0.319451,0.424672,0.319441,0.311058,0.301996,0.352477,0.38828,0.373613,NA,0.358172,0.604041,0.794898,0.914403,0.494096,0.322151,0.277819
"69",NA,"Main_RecrDev_1975",0.149702,0.139263,0.135046,0.103178,0.240667,0.102667,0.186306,0.347768,0.161241,0.177434,0.169288,NA,0.167175,0.316508,0.44041,0.58674,0.161705,0.13508,0.0506194
"70",NA,"Main_RecrDev_1976",-0.103515,-0.0894318,-0.123551,-0.162051,0.0440295,-0.163576,-0.0795971,0.28465,-0.0615833,-0.0753058,-0.0890879,NA,-0.0549473,-0.0606044,-0.000809119,0.178123,-0.114512,-0.108287,-0.194786
"71",NA,"Main_RecrDev_1977",-0.22482,-0.181733,-0.239066,-0.277764,-0.0201017,-0.280095,-0.148193,-0.0463925,-0.158964,-0.193065,-0.21789,NA,-0.147269,-0.225399,-0.165826,0.0470697,-0.130405,-0.232344,-0.303491
"72",NA,"Main_RecrDev_1978",-0.262259,-0.215996,-0.300587,-0.311448,-0.141104,-0.314482,-0.533123,-0.0684612,-0.236937,-0.217994,-0.266194,NA,-0.223197,-0.380662,-0.432985,-0.265677,-0.130786,-0.286223,-0.363876
"73",NA,"Main_RecrDev_1979",0.144989,0.122412,0.0688821,0.00977052,0.259707,0.00694793,0.278275,0.0815469,0.116934,0.190732,0.148921,NA,0.144658,0.0877212,0.127132,0.322279,0.11744,0.137001,0.00233211
"74",NA,"Main_RecrDev_1980",0.0151359,0.0259012,-0.0401,-0.102773,0.189107,-0.105873,0.017843,-0.320085,0.0243064,0.0722321,0.0111476,NA,0.05389,0.197059,0.427404,0.673462,0.184756,-0.00342873,-0.0798608
"75",NA,"Main_RecrDev_1981",-0.552797,-0.54651,-0.588023,-0.613793,-0.460334,-0.615596,-0.495708,0.207359,-0.554409,-0.521764,-0.549164,NA,-0.535576,-0.654988,-0.78953,-0.64777,-0.472544,-0.576675,-0.610891
"76",NA,"Main_RecrDev_1982",-0.508939,-0.506439,-0.557679,-0.582759,-0.430356,-0.584989,-0.503563,-0.24895,-0.528764,-0.502967,-0.496468,NA,-0.504428,-0.645757,-0.799276,-0.63947,-0.481257,-0.523609,-0.578371
"77",NA,"Main_RecrDev_1983",0.333518,0.328973,0.240075,0.201464,0.408745,0.197509,0.168924,-0.609135,0.275552,0.305848,0.358947,NA,0.311554,0.254881,0.268935,0.517296,0.258653,0.362895,0.232639
"78",NA,"Main_RecrDev_1984",1.6042,1.60068,1.52555,1.4847,1.68053,1.48202,1.61039,0.18107,1.59098,1.53424,1.66895,NA,1.61709,1.55225,1.5864,1.79213,1.79773,1.57326,1.55685
"79",NA,"Main_RecrDev_1985",-0.314788,-0.330512,-0.3075,-0.33452,-0.27167,-0.334018,-0.252336,1.41746,-0.301363,-0.370333,-0.286523,NA,-0.29957,-0.412657,-0.583496,-0.45264,-0.266619,-0.343589,-0.297801
"80",NA,"Main_RecrDev_1986",-0.129492,-0.14029,-0.134991,-0.168295,-0.0774353,-0.168542,-0.240395,0.377276,-0.109966,-0.216074,-0.0952076,NA,-0.113299,-0.224247,-0.385713,-0.236484,0.0342534,-0.165392,-0.10758
"81",NA,"Main_RecrDev_1987",1.01497,0.989202,0.956589,0.876728,1.15772,0.875188,0.879047,0.0438885,1.08936,0.823326,1.04003,NA,1.04233,1.32569,1.53933,1.80222,1.31307,0.940001,0.992063
"82",NA,"Main_RecrDev_1988",-0.0632641,-0.0691596,-0.0926944,-0.0831998,-0.068007,-0.0835974,0.15648,1.02276,-0.0335596,-0.136194,-0.0983495,NA,-0.0832102,-0.0971902,-0.0285616,0.0635614,-0.173813,-0.0569274,-0.091507
"83",NA,"Main_RecrDev_1989",-0.459073,-0.451903,-0.484811,-0.45666,-0.484568,-0.457075,-0.400648,-0.2095,-0.449292,-0.502036,-0.49515,NA,-0.47795,-0.47261,-0.481935,-0.388572,-0.490075,-0.465447,-0.442204
"84",NA,"Main_RecrDev_1990",-0.237144,-0.235018,-0.26747,-0.253845,-0.24511,-0.254425,-0.237997,-0.492187,-0.238664,-0.27922,-0.273322,NA,-0.251485,-0.271063,-0.132761,0.0531474,-0.156246,-0.263979,-0.160446
"85",NA,"Main_RecrDev_1991",-0.170781,-0.185885,-0.186581,-0.177439,-0.193256,-0.177077,-0.0609652,-0.487522,-0.181436,-0.208099,-0.185495,NA,-0.187699,-0.302961,-0.288833,-0.171175,0.00881499,-0.225228,-0.0530586
"86",NA,"Main_RecrDev_1992",-0.479932,-0.497324,-0.504475,-0.489447,-0.523444,-0.489423,-0.444099,-0.0319496,-0.512833,-0.510669,-0.491228,NA,-0.514557,-0.499743,-0.59156,-0.493155,-0.428842,-0.519057,-0.414917
"87",NA,"Main_RecrDev_1993",0.0519417,0.0369752,0.0023291,0.0140236,0.0110876,0.0129912,0.00344518,-0.722747,0.00113951,0.0161535,0.0417969,NA,0.00759669,0.174648,0.337777,0.531043,0.129243,0.0147619,0.175124
"88",NA,"Main_RecrDev_1994",0.414868,0.425992,0.356093,0.411856,0.327605,0.410528,0.432335,-0.214002,0.342768,0.37742,0.37845,NA,0.36439,0.446477,0.696623,0.871669,0.800821,0.31109,0.500104
"89",NA,"Main_RecrDev_1995",0.223393,0.271009,0.244036,0.293086,0.228182,0.293333,0.434898,0.317054,0.230016,0.208848,0.189192,NA,0.248289,0.0031694,0.00377372,0.166417,0.672235,0.0721445,0.34801
"90",NA,"Main_RecrDev_1996",-0.200382,-0.146393,-0.176799,-0.108409,-0.241049,-0.108158,-0.169489,0.204419,-0.196143,-0.21343,-0.222811,NA,-0.188924,-0.291545,-0.342175,-0.278076,0.161677,-0.342188,-0.102747
"91",NA,"Main_RecrDev_1997",0.147942,0.161531,0.165665,0.205654,0.0609688,0.206454,0.0183014,-0.462883,0.112248,0.115269,0.138566,NA,0.127912,0.05085,-0.0299804,-0.0659014,0.648278,-0.00910946,0.256993
"92",NA,"Main_RecrDev_1998",0.0814631,0.0170591,0.0942662,0.0785082,-0.0725535,0.0805333,0.0515029,0.0296285,0.0117015,0.05727,0.08886,NA,0.0200856,0.298799,0.279918,0.564109,0.315018,0.0151167,0.119926
"93",NA,"Main_RecrDev_1999",0.598706,0.536613,0.604403,0.632377,0.269114,0.634179,0.474763,0.565709,0.507748,0.579464,0.60172,NA,0.501241,0.0638899,-0.146862,-0.364679,1.4875,0.901736,0.533157
"94",NA,"Main_RecrDev_2000",-0.623812,-0.633869,-0.614649,-0.547803,-0.860667,-0.546818,-0.583301,-0.123078,-0.679873,-0.629419,-0.632984,NA,-0.686635,-0.889661,-1.21916,-1.32934,-0.240015,-0.293777,-0.684064
"95",NA,"Main_RecrDev_2001",-0.182396,-0.180067,-0.17672,-0.114168,-0.359295,-0.113837,-0.0172938,-0.394983,-0.219756,-0.188934,-0.196644,NA,-0.228128,-0.544548,-0.865512,-0.754024,0.22462,0.26427,-0.229452
"96",NA,"Main_RecrDev_2002",0.838968,0.865007,0.899611,0.974322,0.67702,0.976839,0.625118,-0.484428,0.865374,0.795275,0.851311,NA,0.851981,0.960754,0.96205,1.06578,0.611693,0.757939,0.851143
"97",NA,"Main_RecrDev_2003",-0.0123061,-0.0270406,0.0193498,0.0780632,-0.191555,0.0803111,-0.0893721,0.628885,-0.0432165,-0.0104712,-0.01097,NA,-0.0545296,-0.158905,-0.235892,-1.07139,0.0128373,0.0733353,-0.047276
"98",NA,"Main_RecrDev_2004",-0.352842,-0.361504,-0.32902,-0.286546,-0.499718,-0.285153,-0.324748,0.00222932,-0.381452,-0.340283,-0.355375,NA,-0.387123,-0.473846,-0.585857,-1.38828,-0.40847,-0.315447,-0.378829
"99",NA,"Main_RecrDev_2005",0.230127,0.186744,0.258742,0.239868,0.112825,0.241827,0.203182,-0.334393,0.21143,0.248603,0.23439,NA,0.206557,0.291696,0.483943,0.223045,0.0430459,0.240624,0.223399
"100",NA,"Main_RecrDev_2006",0.0730969,0.0506141,0.114037,0.0958779,0.0181871,0.0979579,0.0214256,0.185072,0.0945051,0.0972636,0.0775388,NA,0.0848,0.160812,0.183349,0.358808,-0.135563,0.0689689,0.0885522
"101",NA,"Main_RecrDev_2007",-0.0544502,-0.0396526,-0.00507192,-0.0141148,-0.0837466,-0.012876,-0.065553,0.124623,-0.00823365,-0.0158637,-0.0572775,NA,-0.0151861,-0.159087,-0.121646,-0.877076,-0.254125,-0.0554572,-0.0241535
"102",NA,"Main_RecrDev_2008",-0.11466,-0.117468,-0.0565352,-0.105426,-0.053371,-0.104077,-0.178907,-0.216865,-0.0535996,-0.0684232,-0.115827,NA,-0.0541627,-0.141844,-0.0246326,-0.120526,-0.448441,-0.127667,-0.0575914
"103",NA,"Main_RecrDev_2009",-0.202746,-0.202677,-0.157889,-0.182577,-0.180251,-0.181605,-0.203244,0.256823,-0.170315,-0.144448,-0.208991,NA,-0.16436,-0.217641,-0.158355,-0.969743,-0.623998,-0.221554,-0.168495
"104",NA,"Main_RecrDev_2010",-0.637627,-0.615709,-0.596491,-0.600993,-0.596296,-0.600591,-0.589547,-0.414998,-0.603501,-0.584366,-0.64982,NA,-0.600472,-0.4853,-0.455797,-1.09222,-1.07958,-0.663432,-0.603764
"105",NA,"Main_RecrDev_2011",-0.524718,-0.532259,-0.490767,-0.540919,-0.426459,-0.540628,-0.566189,-0.496426,-0.495527,-0.470354,-0.536353,NA,-0.493042,-0.305214,-0.253657,-0.279922,-1.02804,-0.557109,-0.482559
"106",NA,"Main_RecrDev_2012",-0.300396,-0.307262,-0.270126,-0.327596,-0.153425,-0.327429,-0.354976,-0.481226,-0.258888,-0.253211,-0.311466,NA,-0.263352,-0.197981,-0.0099897,-0.466338,-0.810007,-0.331941,-0.252368
"107",NA,"Main_RecrDev_2013",-0.327479,-0.270856,-0.306191,-0.268621,-0.270523,-0.269356,-0.233911,-0.0464673,-0.292605,-0.285317,-0.34792,NA,-0.302904,-0.399472,-0.435664,-1.1949,-0.669595,-0.339999,-0.297298
"108",NA,"Main_RecrDev_2014",-0.168842,-0.118989,-0.160341,-0.129845,-0.124403,-0.131033,-0.13632,-0.582793,-0.147675,-0.130543,-0.19306,NA,-0.162131,-0.144316,-0.426865,-1.14587,-0.485173,-0.182186,-0.137334
"109",NA,"Main_RecrDev_2015",0.133697,0.156798,0.169813,0.177125,0.182388,0.177421,0.0917981,-0.554571,0.163086,0.157671,0.123863,NA,0.153939,0.513068,0.179866,2.23649,-0.149283,0.118272,0.171182
